"","neighborhood","Black.stop_and_frisk","Black.census","Black.Diff","Hispanic.Latino.stop_and_frisk","Hispanic.Latino.census","Hispanic.Latino.Diff","Juvenile.stop_and_frisk","Juvenile.census","Juvenile.Diff","White.stop_and_frisk","White.census","White.Diff"
"1","Brightwood Park, Crestwood, Petworth",0.69593147751606,0.61,-0.08593147751606,0.19271948608137,0.24,0.0472805139186295,0.191113490364026,0.2,0.00888650963597432,0.0235546038543897,0.13,0.10644539614561
"2","Brookland, Brentwood, Langdon",0.861278648974668,0.78,-0.0812786489746683,0.0265379975874548,0.06,0.0334620024125452,0.133896260554885,0.22,0.0861037394451146,0.0289505428226779,0.14,0.111049457177322
"3","Capitol Hill, Lincoln Park",0.887323943661972,0.35,-0.537323943661972,0.0153649167733675,0.05,0.0346350832266325,0.23303457106274,0.11,-0.12303457106274,0.0256081946222791,0.56,0.534391805377721
"4","Capitol View, Marshall Heights, Benning Heights",0.902884615384615,0.96,0.0571153846153846,0.00865384615384615,0.02,0.0113461538461538,0.173076923076923,0.28,0.106923076923077,0.00480769230769231,0.01,0.00519230769230769
"5","Cathedral Heights, McLean Gardens, Glover Park",0.505494505494505,0.06,-0.445494505494505,0.0769230769230769,0.09,0.0130769230769231,0.10989010989011,0.07,-0.0398901098901099,0.318681318681319,0.76,0.441318681318681
"6","Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",0.669642857142857,0.04,-0.629642857142857,0.0714285714285714,0.08,0.00857142857142858,0.142857142857143,0.12,-0.0228571428571429,0.142857142857143,0.8,0.657142857142857
"7","Colonial Village, Shepherd Park, North Portal Estates",0.868852459016393,0.69,-0.178852459016393,0.0163934426229508,0.05,0.0336065573770492,0.0327868852459016,0.18,0.147213114754098,0.0655737704918033,0.24,0.174426229508197
"8","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",0.679216090768437,0.38,-0.299216090768437,0.206291903042806,0.27,0.0637080969571945,0.186694172253739,0.15,-0.0366941722537391,0.0293965961835998,0.31,0.2806034038164
"9","Congress Heights, Bellevue, Washington Highlands",0.915094339622642,0.97,0.0549056603773584,0.0017688679245283,0.01,0.0082311320754717,0.19811320754717,0.29,0.0918867924528302,0.0035377358490566,0.01,0.0064622641509434
"10","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",0.922535211267606,0.96,0.0374647887323943,0.00503018108651911,0.02,0.0149698189134809,0.167002012072435,0.28,0.112997987927565,0.0140845070422535,0.01,-0.00408450704225352
"11","Douglas, Shipley Terrace",0.9375,0.98,0.0425,0.00227272727272727,0.01,0.00772727272727273,0.236363636363636,0.34,0.103636363636364,0.00340909090909091,0.01,0.00659090909090909
"12","Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",0.811224489795918,0.37,-0.441224489795918,0.0283446712018141,0.06,0.0316553287981859,0.120181405895692,0.1,-0.0201814058956916,0.0697278911564626,0.43,0.360272108843537
"13","Dupont Circle, Connecticut Avenue/K Street",0.559024390243902,0.08,-0.479024390243902,0.111219512195122,0.08,-0.031219512195122,0.0507317073170732,0.03,-0.0207317073170732,0.16780487804878,0.73,0.562195121951219
"14","Eastland Gardens, Kenilworth",0.925619834710744,0.97,0.0443801652892561,NA,NA,NA,0.214876033057851,0.35,0.135123966942149,NA,NA,NA
"15","Edgewood, Bloomingdale, Truxton Circle, Eckington",0.838993710691824,0.7,-0.138993710691824,0.0352201257861635,0.07,0.0347798742138365,0.150943396226415,0.16,0.00905660377358491,0.0314465408805031,0.2,0.168553459119497
"16","Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",0.878472222222222,0.93,0.0515277777777778,0.00347222222222222,0.02,0.0165277777777778,0.170138888888889,0.18,0.0098611111111111,0.03125,0.05,0.01875
"17","Friendship Heights, American University Park, Tenleytown",0.646706586826347,0.06,-0.586706586826347,0.0419161676646707,0.07,0.0280838323353294,0.179640718562874,0.19,0.0103592814371258,0.18562874251497,0.8,0.61437125748503
"18","Georgetown, Burleith/Hillandale",0.611650485436893,0.04,-0.571650485436893,0.029126213592233,0.06,0.030873786407767,0.122330097087379,0.08,-0.0423300970873786,0.211650485436893,0.81,0.598349514563107
"19","Hawthorne, Barnaby Woods, Chevy Chase",0.54,0.11,-0.43,0.14,0.06,-0.08,0.18,0.23,0.05,0.22,0.77,0.55
"20","Historic Anacostia",0.928381962864722,0.97,0.0416180371352785,0.0026525198938992,0.01,0.0073474801061008,0.169761273209549,0.32,0.150238726790451,NA,NA,NA
