X,Y,OBJECTID,NAME,WEB_URL,RELIGION,ADDRESS,XCOORD,YCOORD,PLACE_OF_WORSHIP,Is_Place_Of_Worship,GIS_ID,ADDRID
-77.022683702742512,38.899403363220017,1,CALVARY BAPTIST CHURCH,CALVARYDC.ORG,CHRISTIAN,755 8TH ST NW,398032.51,136838.45,CHURCHES,1,,
-77.026793394321771,38.91792266248784,2,CHRISTIAN TABERNACLE CHURCH OF GOD,CTCOGINC.ORG,CHRISTIAN,2033 11TH ST NW,397676.62,138894.34,CHURCHES,1,,
-77.016387869838894,38.905960067137599,3,CHURCH-THE LIVING GOD PILLAR,,CHRISTIAN,1206 4TH ST NW,398578.77,137566.18,CHURCHES,1,,
-77.02259746551303,38.907750431382844,4,IMMACULATE CONCEPTION PARISH,IMMACULATECONCEPTIONCHURCHDC.ORG,CHRISTIAN,1315 8TH ST NW,398040.22,137765.04,CHURCHES,1,,
-77.022203819072018,38.9117242678835,5,DISTRICT CHURCH,DISTRICTCHURCH.ORG,CHRISTIAN,1616 7TH ST NW,398074.47,138206.16,CHURCHES,1,,
-77.013856686016879,38.913895124574289,6,MEDHANE ALEM ERITREAN ORTHODOX,MEDHANEALEMORTHODOX.ORG,CHRISTIAN,150 S ST NW,398798.45,138447,CHURCHES,1,,
-77.018694290135315,38.906885959370989,7,KINGDOM HALL-JEHOVAH'S WITNESS,JW.ORG/EN,CHRISTIAN,1237 5TH ST NW,398378.74,137669,CHURCHES,1,,
-77.023291995019662,38.900323087234376,8,GREATER NEW HOPE BAPTIST CHR,GNHBC.ORG,CHRISTIAN,816 8TH ST NW,397979.77,136940.56,CHURCHES,1,,
-77.011974750095689,38.909462147688757,9,FAITH & HOPE FULL GOSPEL CHR,,CHRISTIAN,90 P ST NW,398961.6,137954.88,CHURCHES,1,,
-77.020443554751765,38.907018359337307,10,FIRST RISING MT ZION BAPTIST,FIRSTRISING.ORG,CHRISTIAN,602 N ST NW,398227.02,137683.73,CHURCHES,1,,
