"","NAME","WEB_URL","ADDRESS","�..X","Y","OBJECTID","RELIGION","XCOORD","YCOORD","PLACE_OF_WORSHIP","Is_Place_Of_Worship","GIS_ID","ADDRID","denomination","manual_lookup"
"1","12TH STREET CHRISTIAN CHURCH","12THSTCC.ORG","1812 12TH ST NW",-77.0284728701492,38.9146761121204,154,"CHRISTIAN",397530.86,138533.99,"CHURCHES",1,"",NA,"PROTESTANT – DISCIPLES OF CHRIST","PROTESTANT – DISCIPLES OF CHRIST"
"2","ABBAS HOUSE CHR-GOD-PROPHECY","ABBASHOUSECOGOP.ORG","1371 SPRING RD NW",-77.0321718718797,38.9371586528621,164,"CHRISTIAN",397210.94,141029.85,"CHURCHES",1,"",NA,"CHURCH OF GOD – CONGREGATIONALIST","CHURCH OF GOD – CONGREGATIONALIST"
"3","ADAS ISRAEL CONGREGATION","ADASISRAEL.ORG","2850 QUEBEC ST NW",-77.0575291859185,38.9368001210808,199,"JEWISH",395012.47,140991.13,"SYNAGOGUES",1,"",NA,NA,NA
"4","AGAPE 1 CHURCH OF CHRIST","AGAPE1CHURCH.ORG","2002 14TH ST SE",-76.9850591226244,38.8657190049754,227,"CHRISTIAN",401296.85,133099.09,"CHURCHES",1,"",NA,"SOUTHERN BAPTIST","SOUTHERN BAPTIST"
"5","AGAPE BAPTIST CHURCH","AGAPECHURCHDC.COM","3920 ALTON PL NW",-77.0776330857881,38.9468576973528,451,"CHRISTIAN",393270.43,142108.9,"CHURCHES",1,"",NA,"BAPTIST",NA
"6","AGAPE CHURCH OF CHRIST INC","CHURCH-OF-CHRIST.ORG","2002 14TH ST SE",-76.9850591226244,38.8657190049754,604,"CHRISTIAN",401296.85,133099.09,"CHURCHES",1,"",NA,"SOUTHERN BAPTIST","SOUTHERN BAPTIST"
"7","Albright Memorial United Methodist","","411 RITTENHOUSE STREET NW",-77.0187349659989,38.965172627764,707,"CHRISTIAN",398376.54,144139.33,"CHURCHES",1,"pow_659",249042,"UNITED METHODIST","UNITED METHODIST"
"8","ALL NATIONS BAPTIST CHURCH","ALLNATIONSBAPTISTCHURCH.COM","2001 N CAPITOL ST NE",-77.008756957273,38.9172826619647,68,"CHRISTIAN",399240.77,138822.99,"CHURCHES",1,"",NA,"BAPTIST",NA
"9","ALL SOULS CHURCH UNITARIAN","ALL-SOULS.ORG","1500 HARVARD ST NW",-77.0359888086203,38.92603768372,155,"CHRISTIAN",396879.53,139795.45,"CHURCHES",1,"",NA,"UNITARIAN/UNIVERSALISTS",NA
"10","ALL SOULS MEMORIAL EPISCOPAL","<Null>","2300 CATHEDRAL AVE NW",-77.0528848274778,38.927600958317,183,"CHRISTIAN",395414.54,139969.7,"CHURCHES",1,"",NA,"EPISCOPAL",NA
"11","ALLEN CHAPEL AFRICAN MTHDST","ACAMEC.ORG","2498 ALABAMA AVE SE",-76.9702852186312,38.856892611881,351,"CHRISTIAN",402579.33,132119.61,"CHURCHES",1,"",NA,"METHODIST",NA
"12","ALMAS TEMPLE","","260 35TH ST NE",-76.9523191641855,38.8939119930031,289,"JEWISH",404136.57,136229.7,"SYNAGOGUES",1,"",NA,NA,NA
"13","Ambassador Baptist","<Null>","1412 MINNESOTA AVENUE SE",-76.9841635223821,38.8670248366123,648,"CHRISTIAN",401374.55,133244.06,"CHURCHES",1,"pow_364",64651,"BAPTIST",NA
