"","NAME","WEB_URL","ADDRESS"
"1","CHURCH-THE LIVING GOD PILLAR","","1206 4TH ST NW"
"2","DISTRICT CHURCH","DISTRICTCHURCH.ORG","1616 7TH ST NW"
"3","HOLY REDEEMER CHURCH","HOLYREDEEMERCHURCHDC.ORG","206 NEW YORK AVE NW"
"4","TABLE CHURCH-DOWNTOWN","THETABLECHURCHDC.ORG","945 G ST NW"
"5","HIGHWAY CHRISTIAN CHR-CHRIST","","432 W ST NW"
"6","THIRD STREET CHURCH OF GOD","THIRDSTREET.ORG","1204 3RD ST NW"
"7","UNITED HOUSE OF PRAYER FOR ALL PEOPLE","TUHOPFAP.ORG","601 M ST NW"
"8","TRUE GRACE CHURCH OF JESUS","","205 V ST NW"
"9","METROPOLITAN COMMUNITY CHURCH","MCCNH.ORG","474 RIDGE ST NW"
"10","TEMPLE OF CUN YUM","","805 6TH ST NW"
"11","SECOND CHURCH OF GOD","","1530 NEW JERSEY AVE NW"
"12","METRO WASH DC SYNOD","METRODCELCA.ORG","305 E ST NW"
"13","CHURCH OF GOD","WASHINGTONDCWMSCOG.COM","700 A ST NE"
"14","CHURCH-THE LORD JESUS CHRIST","TCLJC.COM","1230 C ST NE"
"15","CHURCH OF ST MONICA & ST JAMES","STMONICA-STJAMES.ORG","222 8TH ST NE"
"16","CHURCH UNITED SPANISH","IPUHDC.ORG","811 K ST NE"
"17","NATIONAL COMMUNITY CHURCH","NCCPRODUCTION.COM","205 F ST NE"
"18","SACRED HEART OF JESUS INTL","","1201 I ST NE"
"19","SAFE HAVEN OUTREACH MINISTRY","SAFEHAVENOUTREACHMINISTRY.ORG","1140 N CAPITOL ST NW # 924"
"20","IMANI TEMPLE","","609 MARYLAND AVE NE"
"21","GREATER MT CALVARY HOLY CHURCH","GMCHC.ORG","610 RHODE ISLAND AVE NE"
"22","PEOPLES COMMUNITY CHURCH","<Null>","653 11TH ST NE"
"23","NORTHEAST HOLY TRINITY CHURCH","NEHOLYTRINITYCHURCH.ORG","709 4TH ST NE"
"24","LIVING WATER WORSHIP CTR","","1015 D ST NE"
"25","HWY CHRISTIAN CHURCH","","431 15TH ST NE"
"26","JESUS WAY TEMPLE","","1700 MARYLAND AVE NE"
"27","LUTHER PLACE MEMORIAL CHURCH","","1226 VERMONT AVE NW"
"28","GRACE COVENANT CHURCH","GRACECOVDC.ORG","1000 VERMONT AVE NW # 1100"
"29","KOREA TRUTH COMMISSION","<Null>","733 15TH ST NW"
"30","HOLY NAME OF JESUS PARISH","HOLYNAMEPARISHDC.ORG","920 11TH ST NE"
"31","CHRIST CHURCH CAPITOL HILL","WASHINGTONPARISH.ORG","620 G ST SE"
"32","CHRIST OUR SHEPHERD CHURCH","CHRISTOURSHEPHERD.ORG","801 N CAROLINA AVE SE"
"33","WASHINGTON CITY CHURCH OF THE BRETHREN","WASHINGTONCITYCOB.ORG","337 N CAROLINA AVE SE"
"34","MADONNA HOUSE","MADONNAHOUSE.ORG","220 C ST NE"
"35","CALVARY CHRISTIAN CHURCH","CALVARYCHRISTIAN.WEBS.COM","909 11TH ST SE"
"36","SERVANTS OF THE LORD","SSVMUSA.ORG","28 15TH ST SE"
"37","CAPITAL CITY CHURCH","CAPCITYCHURCH.COM","1333 H ST NE"
"38","TABLE CHURCH-H STREET PARISH","","509 I ST NE"
"39","WASHINGTON COMMUNITY FELLOWSHP","WCFCHURCH.ORG","907 MARYLAND AVE NE"
"40","ST VINCENT DE PAUL PARISH","STVINCENTDEPAULDC.ORG","14 M ST SE"
"41","HOLY TEMPLE CHURCH OF CHRIST","HTCONLINE.ORG","439 12TH ST SE"
"42","HOUSE OF GOD","<Null>","1310 E CAPITOL ST NE"
"43","HARDWOOD REVIVAL","","510 21ST ST NW"
"44","ST PAULS","","1275 K ST NW"
"45","NATIONAL CITY CHRISTIAN CHURCH","NATIONALCITYCC.ORG","5 THOMAS CIR NW # 2"
"46","SOUTHWEST CHURCH OF CHRIST","13THSTCOC.WORDPRESS.COM","3100 13TH ST NW"
"47","TRUTHABOUTIT.NET","KYLEWEIDIE.COM","3355 16TH ST NW"
"48","HANDMAIDS-THE HOLY CHILD JESUS","","2028 15TH ST NW"
"49","ST STEPHEN & INCARNATION CHR","SAINTSTEPHENSDC.ORG","1525 NEWTON ST NW"
"50","OBLATE SISTERS-THE MOST HOLY","","2907 ELLICOTT TER NW"
"51","LIFE CHURCH","LIFECHURCHOFATLANTA.COM","1323 R ST NW"
"52","KELSEY TEMPLE CHR-GOD IN CHRST","KELSEYTEMPLE.ORG","1435 PARK RD NW"
"53","12TH STREET CHRISTIAN CHURCH","12THSTCC.ORG","1812 12TH ST NW"
"54","ST JAMES APOSTLE CHURCH","","1819 15TH ST NW"
"55","ABBAS HOUSE CHR-GOD-PROPHECY","ABBASHOUSECOGOP.ORG","1371 SPRING RD NW"
"56","LA RED CHURCH","IGLESIALARED.NET","3333 14TH ST NW"
"57","ONE LORD ONE SAFE CHURCH INC","ONENESSJG.ORG","4500 CONNECTICUT AVE NW"
"58","TABLE CHURCH-COHI PARISH","THETABLECHURCHDC.ORG","1459 COLUMBIA RD NW"
"59","CHURCH OF THE HOLY CITY","SWEDENBORGCENTER.ORG","1611 16TH ST NW"
"60","PARK ROAD COMMUNITY CHURCH","PARKROADCOMMUNITYCHURCH.ORG","1019 PARK RD NW"
"61","DIVINE MISSION CHURCH","DIVINEMISSIONCHURCH.COM","1 51ST ST SE"
"62","PARISH OF CHRIST THE KING","PARISHOFCHRISTTHEKING.ORG","2727 O ST NW"
"63","OUR LADY OF VICTORY CHURCH","OLVPARISHDC.COM","4835 MACARTHUR BLVD NW"
"64","FIFTH CHURCH OF CHRIST SCIENTIST","CSGEORGETOWN.COM","1238 31ST ST NW"
"65","WILLIAMS CORNER WORSHIP CTR","WILLIAMSCORNER.COM","3435 CONNECTICUT AVE NW"
"66","NUEVA VIDA INC","","2000 K ST NW # 200"
"67","REORGANIZED CHURCH-JESUS CHRST","COFCHRISTDC.ORG","3526 MASSACHUSETTS AVE NW"
"68","MT ZION COMMUNITY HOUSE","","2906 O ST NW"
"69","ANACOSTIA INTERNATIONAL","","1716 V ST SE"
"70","IMMANUEL BIBLE ASSEMBLY","","3303 10TH ST NE"
"71","DIVINE WORD HOUSE","","832 VARNUM ST NE"
"72","TRUE BELIEVERS","","5670 CENTRAL AVE SE"
"73","TRUE WAY CHURCH","","317 62ND ST NE"
"74","LITTLE FOUNTAIN CHURCH","LITTLEFOUNTAINBIBLEWAY.ORG","2224 16TH ST SE"
"75","LITTLE ROCK CHR OF DELIVERANCE","","2214 NAYLOR RD SE"
"76","GREATER MT JOY CHR OF CHRIST","","1619 FRANKFORD ST SE"
"77","CAPITOL TEMPLE CHR-GOD","","3100 18TH ST NE"
"78","BRIGHTER DAY MINISTRIES","BRIGHTERDAYDC.ORG","2525 12TH PL SE"
"79","LIGHT OF THE WORLD CHURCH","","1222 RHODE ISLAND AVE NE"
"80","MEKANE HIWOT","","2715 22ND ST NE"
"81","WILLING HEART COMMUNITY CHURCH","WILLINGHEART.ORG","3110 W ST SE"
"82","AGAPE 1 CHURCH OF CHRIST","AGAPE1CHURCH.ORG","2002 14TH ST SE"
"83","BETHEL CHRISTIAN CHURCH","BETHELDC.ORG","2217 MINNESOTA AVE SE"
"84","BETHEL CHRISTIAN FELLOWSHIP","","2220 MARTIN LUTHER KING JR AVE"
"85","SUPREME COUNCIL-THE HSE-JACOB","","5740 E CAPITOL ST NE"
"86","ST JOSAPHAT'S UKRAINIAN SMNRY","SJUCS.ORG","201 TAYLOR ST NE"
"87","GATE OF HEAVEN HOLY CHURCH","","2932 12TH ST NE"
"88","ST TERESA OF AVILA CHURCH","STACHURCH.ORG","1244 V ST SE"
"89","REDEEMING LOVE CHRISTIAN CTR","","4611 NANNIE HELEN BURROUGHS AV"
"90","REFUGE TEMPLE","","420 56TH ST NE"
"91","PEACE FELLOWSHIP CHURCH","PEACEFELLOWSHIPCHURCH.ORG","1601 KENILWORTH AVE NE"
"92","REVELATION KNOWLEDGE CHRISTIAN","","801 44TH ST NE"
"93","OUR REDEEMER CHURCH","OURREDEEMERCHURCH.ORG","1725 MICHIGAN AVE NE"
"94","WOODRIDGE CHURCH OF OUR LORD","","2226 EVARTS ST NE"
"95","EAST CAPITOL CHURCH OF CHRIST","EASTCAPITOLSTCOC,ORG","5026 E CAPITOL ST NE"
"96","LIVING WORD CHURCH","","4101 MARTIN LUTHER KING JR AVE"
"97","FRENCH SPEAKING PARISH OF ST L0UIS","","4125 GARRISON ST NW"
"98","MARIAN FATHERS","","3885 HAREWOOD RD NE"
"99","RHEMA CHRISTIAN CTR CHURCH","RHEMACHRISTIANCENTER.ORG","1825 MICHIGAN AVE NE"
"100","NEW COVENANT CHURCH","","2119 RHODE ISLAND AVE NE"
"101","NEW BEGINNING CHRISTIAN","","4421 SHERIFF RD NE"
"102","NEW BEGINNING WAY-THE CROSS","","4928 BLAINE ST NE"
"103","RCCG NEW WINE ASSEMBLY","RCCGNEWWINEASSEMBLY.ORG","1515 KENILWORTH AVE NE # B"
"104","CHURCH-THE REDEEMER","REDEEMERPRESBYDC.ORG","1423 GIRARD ST NE"
"105","GOOD SUCCESS CHRISTIAN CHURCH","","4401 SHERIFF RD NE"
"106","YOUNGS MEMORIAL CHURCH","CHURCH-OF-CHRIST.ORG","2490 ALABAMA AVE SE"
"107","NEW DAY ASSEMBLY OF CHRIST","NEWDAYASSEMBLYOFCHRIST.COM","201 RALEIGH ST SE"
"108","FIRST CHURCH OF WASHINGTON DC","FIRSTCHURCHWASH.ORG","1219 HAMLIN ST NE"
"109","MOUNTAIN OF FIRE MIRACLES","MFMWASHINGTONDC.ORG","3010 RHODE ISLAND AVE NE # C"
"110","SERVANTS OF THE LORD","","1326 QUINCY ST NE"
"111","FAITH BIBLE CHURCH","","4625 G ST SE"
"112","WHOLE TRUTH CHR-THE LORD JESUS","","2800 DOUGLAS ST NE"
"113","MACEDONIA COMMUNITY CHURCH","","1026 46TH ST NE"
"114","MACEDONIA HOLY CHURCH","","707 DIVISION AVE NE"
"115","NEW JERUSALEM TEMPLE","TEMPLENEWJERUSALEM.ORG","4024 GAULT PL NE"
"116","NEW LIFE WORLD ASSEMBLIES","","3001 M ST SE"
"117","MICHIGAN PARK CHRISTIAN CHURCH","MICHIGANPARKCC.COM","1600 TAYLOR ST NE"
"118","KEDUS GABRIEL ETHIOPIAN ORTHDX","","2601 EVARTS ST NE"
"119","JOSEPHITE PASTORAL CTR","JOSEPHITEPASTORALCENTER.ORG","1200 VARNUM ST NE"
"120","SOUTHEAST CHRISTIAN FELLOWSHIP","SECF3140.ORG","3140 Q ST SE"
"121","VICTORY DELIVERANCE TEMPLE","VICTORYDELIVERANCETEMPLE.COM","2224 16TH ST SE"
"122","MONASTERY OF THE HOLY CROSS","","1302 QUINCY ST NE"
"123","RIGHTEOUS CHURCH OF GOD","RCGMINISTRIES.ORG","616 56TH ST NE"
"124","PERFECTION OF THE SAINTS","","6041 DIX ST NE"
"125","DEBRE MEHERET ST MICHAEL'S","","3010 EARL PL NE"
"126","POOR CLARES OF PERPETUAL ADRTN","","3900 13TH ST NE"
"127","MIRACLE TEMPLENON","MIRACLETEMPLEMINISTRIES.ORG","5219 CALL PL SE"
"128","ASSUMPTION RC CHURCH","ASSUMPTIONDC.ORG","220 HIGHVIEW PL SE"
"129","LITTLE ROCK CHURCH OF CHRIST","","5030 SHERIFF RD NE"
"130","RELIGIOUS THE SACRED HEART","","821 VARNUM ST NE"
"131","CHURCH OF THE INCARNATION","INCARNATIONDC.ORG","880 EASTERN AVE NE"
"132","CHURCH OF OUR LORD JESUS CHRIST","","420 56TH ST NE"
"133","LEADING COMMANDMENT CHURCH","","5023 CENTRAL AVE SE"
"134","INTERNATIONAL HOUSE OF PRAYER","","1915 RHODE ISLAND AVE NE"
"135","GREAT MT CALVARY HOLY CHURCH","GMCNATION.ORG","610 RHODE ISLAND AVE NE"
"136","HIS CHURCH","","2000 STANTON TER SE"
"137","HIGHER PRAISE MINISTRIES","","4625 GAULT PL NE"
"138","HOLY TRUTH-GOD IN CHRIST JESUS","","514 58TH ST NE"
"139","DEEPER LIFE BIBLE CHURCH","DEEPERLIFEDC.ORG","4915 SARGENT RD NE"
"140","CHRISTIAN PRAISE CHURCH","","3628 ALABAMA AVE SE"
"141","CHURCH IN THE LORD JESUS","","1524 GOOD HOPE RD SE"
"142","CHURCH OF JESUS CHRIST","COJC.ORG","3456 PENNSYLVANIA AVE SE"
"143","BETHUEL TEMPLE CHURCH","BETHUELTEMPLE.COM","2406 MARTIN LUTHER KING JR AVE"
"144","SOUL SAVING CTR OF CHRIST","SSCOCINC.ORG","909 43RD PL NE"
"145","INDEPENDENT CHURCH OF GOD","","2302 AINGER PL SE"
"146","GREATER DELIVERANCE CHR OF GOD","GREATERDELIVERANCECOGIC.ORG","441 CHAPLIN ST SE"
"147","ST LUKE PARISH","STLUKECHURCHSSJ.ORG","4925 E CAPITOL ST SE"
"148","ST MICHAELS CHR-GOD-CHRIST","","313 57TH ST NE"
"149","TEMPLE OF THE LIVING EPOSTLE","","4821 MEADE ST NE"
"150","BETHLEHEM CHURCH-GOD HOLINESS","","5898 EASTERN AVE NE"
"151","OUR LADY OF LEBANON","MARONITESEMINARY.ORG","7164 ALASKA AVE NW"
"152","OVERCOMING FAITH MINISTRIES","","6401 CHILLUM PL NW"
"153","TEMPLE SINAI","TEMPLESINAIDC.ORG","3100 MILITARY RD NW"
"154","NORTHWEST COMMUNITY CHURCH","","4100 16TH ST NW"
"155","BROTHERHOOD OF THE CROSS-STAR","OOO-BCSUSA.ORG/WASHINGTON-DC-BETHEL","916 RITTENHOUSE ST NW"
