"NAME","WEB_URL","ADDRESS","manual_lookup"
"CHURCH-THE LIVING GOD PILLAR",,"1206 4TH ST NW",
"DISTRICT CHURCH","DISTRICTCHURCH.ORG","1616 7TH ST NW",
"HOLY REDEEMER CHURCH","HOLYREDEEMERCHURCHDC.ORG","206 NEW YORK AVE NW","CATHOLIC"
"TABLE CHURCH-DOWNTOWN","THETABLECHURCHDC.ORG","945 G ST NW",
"HIGHWAY CHRISTIAN CHR-CHRIST",,"432 W ST NW","PENTECOSTAL"
"THIRD STREET CHURCH OF GOD","THIRDSTREET.ORG","1204 3RD ST NW",
"UNITED HOUSE OF PRAYER FOR ALL PEOPLE","TUHOPFAP.ORG","601 M ST NW","PENTECOSTAL"
"TRUE GRACE CHURCH OF JESUS",,"205 V ST NW","PENTECOSTAL"
"METROPOLITAN COMMUNITY CHURCH","MCCNH.ORG","474 RIDGE ST NW","PROTESTANT"
"TEMPLE OF CUN YUM",,"805 6TH ST NW",
"SECOND CHURCH OF GOD",,"1530 NEW JERSEY AVE NW",
"METRO WASH DC SYNOD","METRODCELCA.ORG","305 E ST NW","LUTHERAN"
"CHURCH OF GOD","WASHINGTONDCWMSCOG.COM","700 A ST NE","PENTECOSTAL"
"CHURCH-THE LORD JESUS CHRIST","TCLJC.COM","1230 C ST NE","PENTECOSTAL"
"CHURCH OF ST MONICA & ST JAMES","STMONICA-STJAMES.ORG","222 8TH ST NE","EPISCOPAL"
"CHURCH UNITED SPANISH","IPUHDC.ORG","811 K ST NE","PENTECOSTAL"
"NATIONAL COMMUNITY CHURCH","NCCPRODUCTION.COM","205 F ST NE","PENTECOSTAL"
"SACRED HEART OF JESUS INTL",,"1201 I ST NE","BAPTIST"
"SAFE HAVEN OUTREACH MINISTRY","SAFEHAVENOUTREACHMINISTRY.ORG","1140 N CAPITOL ST NW # 924",
"IMANI TEMPLE",,"609 MARYLAND AVE NE","CATHOLIC"
"GREATER MT CALVARY HOLY CHURCH","GMCHC.ORG","610 RHODE ISLAND AVE NE","PENTECOSTAL"
"PEOPLES COMMUNITY CHURCH","<Null>","653 11TH ST NE",
"NORTHEAST HOLY TRINITY CHURCH","NEHOLYTRINITYCHURCH.ORG","709 4TH ST NE","PENTECOSTAL"
"LIVING WATER WORSHIP CTR",,"1015 D ST NE",
"HWY CHRISTIAN CHURCH",,"431 15TH ST NE","PENTECOSTAL"
"JESUS WAY TEMPLE",,"1700 MARYLAND AVE NE",
"LUTHER PLACE MEMORIAL CHURCH",,"1226 VERMONT AVE NW","LUTHERAN"
"GRACE COVENANT CHURCH","GRACECOVDC.ORG","1000 VERMONT AVE NW # 1100",
"KOREA TRUTH COMMISSION","<Null>","733 15TH ST NW",
"HOLY NAME OF JESUS PARISH","HOLYNAMEPARISHDC.ORG","920 11TH ST NE","CATHOLIC"
"CHRIST CHURCH CAPITOL HILL","WASHINGTONPARISH.ORG","620 G ST SE","EPISCOPAL"
"CHRIST OUR SHEPHERD CHURCH","CHRISTOURSHEPHERD.ORG","801 N CAROLINA AVE SE",
"WASHINGTON CITY CHURCH OF THE BRETHREN","WASHINGTONCITYCOB.ORG","337 N CAROLINA AVE SE",
"MADONNA HOUSE","MADONNAHOUSE.ORG","220 C ST NE",
"CALVARY CHRISTIAN CHURCH","CALVARYCHRISTIAN.WEBS.COM","909 11TH ST SE",
"SERVANTS OF THE LORD","SSVMUSA.ORG","28 15TH ST SE","CATHOLIC"
"CAPITAL CITY CHURCH","CAPCITYCHURCH.COM","1333 H ST NE",
"TABLE CHURCH-H STREET PARISH",,"509 I ST NE",
"WASHINGTON COMMUNITY FELLOWSHP","WCFCHURCH.ORG","907 MARYLAND AVE NE","EVANGELICAL"
"ST VINCENT DE PAUL PARISH","STVINCENTDEPAULDC.ORG","14 M ST SE","CATHOLIC"
