X,Y,PSEUDO_OBJECTID,MARID,STREETSEGID,INTERSECTION1ID,INTERSECTION2ID,ONSTREETID,FROMSTREETID,TOSTREETID,THEORANGELL,THEORANGELH,THEORANGERL,THEORANGERH,ACTUALRANGELL,ACTUALRANGELH,ACTUALRANGERL,ACTUALRANGERH,CENTROIDX,CENTROIDY,EXTENTMINX,EXTENTMINY,EXTENTMAXX,EXTENTMAXY,LATITUDE,LONGITUDE,FULLBLOCK,LOWER_RANGE,HIGHER_RANGE,BLOCKNAME,ONSTNAME,ONSTTYPE,ONSTQUAD,ONSTREETDISPLAY,FROMSTNAME,FROMSTTYPE,FROMSTQUAD,FROMSTREETDISPLAY,TOSTNAME,TOSTTYPE,TOSTQUAD,TOSTREETDISPLAY,NATIONALGRID,WARD,ESRI_OID
-76.9631555386007,38.923846054478,1,800042,41,12985,12986,208144,200313,200310,2430,2498,2431,2499,2430,2430,0,0,403195.16,139552.19,403151.66,139515.27,403237.05,139587.27,38.9238382601637,-76.9631532650854,SOUTH DAKOTA AVENUE NE FROM 31ST PLACE NE TO 31ST STREET NE,2430,2499,2430 - 2499 BLOCK OF SOUTH DAKOTA AVENUE NE,SOUTH DAKOTA,AVENUE,NE,SOUTH DAKOTA AVENUE NE,31ST,PLACE,NE,31ST PLACE NE,31ST,STREET,NE,31ST STREET NE,18S UJ 29818 10157,Ward 5,1
-76.9631555386007,38.923846054478,2,800043,41,12985,12986,208144,203022,200310,2430,2498,2431,2499,2430,2430,0,0,403195.16,139552.19,403151.66,139515.27,403237.05,139587.27,38.9238382601637,-76.9631532650854,SOUTH DAKOTA AVENUE NE FROM DOUGLAS STREET NE TO 31ST STREET NE,2430,2499,2430 - 2499 BLOCK OF SOUTH DAKOTA AVENUE NE,SOUTH DAKOTA,AVENUE,NE,SOUTH DAKOTA AVENUE NE,DOUGLAS,STREET,NE,DOUGLAS STREET NE,31ST,STREET,NE,31ST STREET NE,18S UJ 29818 10157,Ward 5,2
-76.9688278505929,38.9321922869805,3,800044,42,12987,12988,202158,201761,207546,3300,3398,3301,3399,0,0,0,0,402702.97,140478.51,402677.19,140449.55,402729.94,140508.49,38.9321844911951,-76.9688255748009,CENTRAL AVENUE NE FROM BRENTWOOD ROAD NE TO RHODE ISLAND AVENUE NE,3300,3399,3300 - 3399 BLOCK OF CENTRAL AVENUE NE,CENTRAL,AVENUE,NE,CENTRAL AVENUE NE,BRENTWOOD,ROAD,NE,BRENTWOOD ROAD NE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,18S UJ 29346 11094,Ward 5,3
-76.9708304731556,38.9305913968574,4,800045,43,12989,12990,208144,200260,207546,3100,3298,3101,3299,3108,3126,3107,3123,402529.39,140300.74,402466.69,140223.13,402592.57,140378.71,38.9305836014693,-76.9708281968375,SOUTH DAKOTA AVENUE NE FROM 26TH STREET NE TO RHODE ISLAND AVENUE NE,3100,3299,3100 - 3299 BLOCK OF SOUTH DAKOTA AVENUE NE,SOUTH DAKOTA,AVENUE,NE,SOUTH DAKOTA AVENUE NE,26TH,STREET,NE,26TH STREET NE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,18S UJ 29169 10920,Ward 5,4
-76.9708304731556,38.9305913968574,5,800046,43,12989,12990,208144,206305,207546,3100,3298,3101,3299,3108,3126,3107,3123,402529.39,140300.74,402466.69,140223.13,402592.57,140378.71,38.9305836014693,-76.9708281968375,SOUTH DAKOTA AVENUE NE FROM MYRTLE AVENUE NE TO RHODE ISLAND AVENUE NE,3100,3299,3100 - 3299 BLOCK OF SOUTH DAKOTA AVENUE NE,SOUTH DAKOTA,AVENUE,NE,SOUTH DAKOTA AVENUE NE,MYRTLE,AVENUE,NE,MYRTLE AVENUE NE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,18S UJ 29169 10920,Ward 5,5
-77.015680351656,38.899787008288,6,800047,44,437,432,104244,100030,100040,300,398,301,399,306,312,0,0,398640.02,136880.91,398594.4,136880.45,398685.4,136884.46,38.8997792207821,-77.0156780632493,H STREET NW FROM 3RD STREET NW TO 4TH STREET NW,300,399,300 - 399 BLOCK OF H STREET NW,H,STREET,NW,H STREET NW,3RD,STREET,NW,3RD STREET NW,4TH,STREET,NW,4TH STREET NW,18S UJ 25205 07586,Ward 2,6
-77.015680351656,38.899787008288,7,800048,44,437,432,104244,105960,100040,300,398,301,399,306,312,0,0,398640.02,136880.91,398594.4,136880.45,398685.4,136884.46,38.8997792207821,-77.0156780632493,H STREET NW FROM MASSACHUSETTS AVENUE NW TO 4TH STREET NW,300,399,300 - 399 BLOCK OF H STREET NW,H,STREET,NW,H STREET NW,MASSACHUSETTS,AVENUE,NW,MASSACHUSETTS AVENUE NW,4TH,STREET,NW,4TH STREET NW,18S UJ 25205 07586,Ward 2,7
-77.0457574703213,38.9118747932785,8,800049,45,58,19686,104563,100200,100210,2000,2098,2001,2099,2028,2034,2007,2029,396031.68,138223.63,395955.99,138223.51,396107.37,138223.84,38.9118670044575,-77.0457551718103,HILLYER PLACE NW FROM 20TH STREET NW TO 21ST STREET NW,2000,2099,2000 - 2099 BLOCK OF HILLYER PLACE NW,HILLYER,PLACE,NW,HILLYER PLACE NW,20TH,STREET,NW,20TH STREET NW,21ST,STREET,NW,21ST STREET NW,18S UJ 22627 08986,Ward 2,8
-77.0073684185434,38.908578810358,9,800050,46,,17208,206584,,200010,2,98,1,99,0,0,0,0,399361.11,137856.78,399226.95,137843.27,399489.48,137857.03,38.9085710207693,-77.0073661321884,O STREET NE FROM O STREET NE TO 1ST STREET NE,1,99,1 - 99 BLOCK OF O STREET NE,O,STREET,NE,O STREET NE,O,STREET,NE,O STREET NE,1ST,STREET,NE,1ST STREET NE,18S UJ 25948 08546,Ward 5,9
-77.0073684185434,38.908578810358,10,800051,46,,17208,206584,,206467,2,98,1,99,0,0,0,0,399361.11,137856.78,399226.95,137843.27,399489.48,137857.03,38.9085710207693,-77.0073661321884,O STREET NE FROM O STREET NE TO NEW YORK AVENUE NE,1,99,1 - 99 BLOCK OF O STREET NE,O,STREET,NE,O STREET NE,O,STREET,NE,O STREET NE,NEW YORK,AVENUE,NE,NEW YORK AVENUE NE,18S UJ 25948 08546,Ward 5,10
