X,Y,OBJECTID,BBL_LICENSE_FACT_ID,LICENSESTATUS,LICENSECATEGORY,CUST_NUM,TRADE_NAME,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_ISSUE_DATE,AGENT_PHONE,LASTMODIFIEDDATE,CITY,STATE,SITEADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
-77.0039114331,38.900981603,5394,7.31073876807751e-319,CANCELLED,General Business Licenses,69003041,POTOMAC DEVELOPMENT CORPORATION,2011/04/01 00:00:00+00,2013/03/31 00:00:00+00,2013/03/12 00:00:00+00,2027898100,2014/10/22 07:06:34+00,WASHINGTON,DC,900 2ND STREET NE,38.9009741490414,-77.003909148294,399660.91,137013.41,20002,81638,53287,2.63272760699425e-319,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NOMA BID
-77.031594914,38.899902428,5399,7.31098580090043e-319,EXPIRED,General Business Licenses,69003046,PRISM PUBLIC AFFAIRS LLC,2011/04/01 00:00:00+00,2013/03/31 00:00:00+00,2013/05/04 00:00:00+00,2029999999,2015/09/02 06:47:06+00,WASHINGTON,DC,1399 NEW YORK AVENUE NW,38.8998949753189,-77.0315926207431,397259.53,136894.08,20005,279124,121242,5.99015070330844e-319,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0457881462,38.9059571982,5409,7.31147986654627e-319,CANCELLED,General Business Licenses,69003063,PEDORTHIC FOOTWEAR ASSOCIATION INC,2011/04/01 00:00:00+00,2013/03/31 00:00:00+00,2013/01/22 00:00:00+00,2023931748,2015/01/13 06:52:09+00,WASHINGTON,DC,2025 M STREET NW,38.9059497447621,-77.0457858482387,396028.69,137566.73,20036,279515,121628,6.00922163723791e-319,2,2A,2A02,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-81.5291921333,37.5772691877,5418,7.31192452562753e-319,EXPIRED,General Business Licenses,69003073,KANUCK CONSTRUCTION INC,2011/04/01 00:00:00+00,2013/03/31 00:00:00+00,2013/05/04 00:00:00+00,2028951530,2015/01/13 06:52:09+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-81.5291921333,37.5772691877,5432,7.32630183592151e-319,EXPIRED,General Business Licenses,69004110,WPV HOME SERVICES LLC,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,3016514829,2015/01/13 06:52:10+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-77.0651038204,38.9033761458,5447,7.32704293439027e-319,EXPIRED,General Business Licenses,69004171,BEYOND THE BOX RELOCATION AND DESIGN LLC,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,2025303300,2015/01/13 06:52:10+00,WASHINGTON,DC,1000 POTOMAC STREET NW,38.9033686936304,-77.0651015167133,394353.11,137281.23,20007,273720,116516,5.75665527908387e-319,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,NONE
-77.006181414,38.8975462563,5448,7.32709234095485e-319,EXPIRED,General Business Licenses,69004178,KASHMIR IMPORTS,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,2022889453,2015/01/13 06:52:10+00,WASHINGTON,DC,50 MASSACHUSETTS AVENUE NE,38.8975388031501,-77.0061791287365,399463.98,136632.07,20002,293243,130220,6.43372284014471e-319,6,6C,6C05,FIRST,103,25,NONE,NONE,NONE,CAPITOL HILL BID
-77.0437506508,38.9047278884,5466,7.32798165911737e-319,EXPIRED,General Business Licenses,69004221,BRUZZO LLC,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,3016527332,2015/01/13 06:52:10+00,WASHINGTON,DC,1132 19TH STREET NW,38.9047204351588,-77.0437483535915,396205.35,137430.18,20036,241078,83692,4.13493420317456e-319,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-77.0457881462,38.9059571982,5467,7.32803106568195e-319,EXPIRED,General Business Licenses,69004222,LAMAZE INTERNATIONAL INC,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,2029999999,2015/09/02 06:47:07+00,WASHINGTON,DC,2025 M STREET NW,38.9059497447621,-77.0457858482387,396028.69,137566.73,20036,279515,121628,6.00922163723791e-319,2,2A,2A02,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-77.0578671803,38.93074358,5468,7.32808047224654e-319,EXPIRED,General Business Licenses,69004223,SILVER SERVICE LLC,2011/05/01 00:00:00+00,2013/04/30 00:00:00+00,2013/06/09 00:00:00+00,2025880829,2015/09/02 06:47:07+00,WASHINGTON,DC,2800 DEVONSHIRE PLACE NW,38.9307361220456,-77.0578648771118,394982.74,140318.82,20008,223078,66404,3.28079351464421e-319,3,3C,3C03,SECOND,204,15,NONE,NONE,NONE,NONE
-77.0374534111,38.9042767766,5477,7.32852513132779e-319,EXPIRED,General Business Licenses,69004260,ICBA MORTGAGE CORPORATION,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,8007671553,2015/01/13 06:52:10+00,WASHINGTON,DC,1615 L STREET NW,38.9042693232179,-77.0374511157769,396751.54,137379.86,20036,242027,84974,4.19827341897141e-319,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-77.041041252,38.904165309,5512,7.33025436108824e-319,EXPIRED,General Business Licenses,69004561,EMILY'S LIST,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,2023261400,2015/01/13 06:52:10+00,WASHINGTON,DC,1120 CONNECTICUT AVENUE NW,38.9041578557807,-77.0410389556037,396440.33,137367.62,20036,241785,85064,4.20272000978398e-319,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
-77.0205606985,38.9362327868,5514,7.33035317421741e-319,EXPIRED,General Business Licenses,69004567,LIFE INFINITE LLC,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,2023918086,2015/01/13 06:52:10+00,WASHINGTON,DC,634 QUEBEC PLACE NW,38.9362253263673,-77.020558406422,398217.59,140926.78,20010,228464,71227,3.51908137563345e-319,1,1A,1A08,FOURTH,409,2,NONE,NONE,NONE,NONE
-77.0333909769,38.9005825101,5517,7.33050139391116e-319,CANCELLED,General Business Licenses,69004588,RESEARCH TRIANGLE INSTITUTE,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/05/31 00:00:00+00,2025723100,2014/10/22 07:06:39+00,WASHINGTON,DC,805 15TH STREET NW,38.9005750573023,-77.0333886831281,397103.76,136969.63,20005,279948,122144,6.03471542456332e-319,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0130238931,38.8933400472,5532,7.33124249237992e-319,EXPIRED,General Business Licenses,69004709,NATIONAL TELECOMMUNICATIONS SERVICES INC,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,2026384500,2015/09/02 06:47:07+00,WASHINGTON,DC,122 C STREET NW,38.8933325951295,-77.013021605999,398870.35,136165.21,20001,278952,121008,5.97858956719576e-319,6,6C,6C09,FIRST,103,8,NONE,NONE,NONE,DOWNTOWN BID
-77.0223823013,38.8944459377,5533,7.33129189894451e-319,EXPIRED,General Business Licenses,69004710,THOMAS ALVA EDISON FOUNDATION,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,2025085621,2015/01/13 06:52:10+00,WASHINGTON,DC,701 PENNSYLVANIA AVENUE NW,38.8944384856996,-77.0223800112265,398058.52,136288.13,20004,279889,122076,6.0313557781716e-319,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
-81.5291921333,37.5772691877,5480,7.32867335102155e-319,EXPIRED,General Business Licenses,69004266,R E MOULTON INC,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,2025723100,2015/09/02 06:47:07+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-81.5291921333,37.5772691877,5493,7.32931563636114e-319,CANCELLED,General Business Licenses,69004301,"C/O SISSIONS, FISHMNA, NATHAN & ISRAEL LLC",2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/03/26 00:00:00+00,2023931747,2015/01/13 06:52:10+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-81.5291921333,37.5772691877,5495,7.32941444949031e-319,CANCELLED,General Business Licenses,69004308,"C/O SISSIONS, FISHMNA, NATHAN & ISRAEL LLC",2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/03/26 00:00:00+00,2023931747,2015/01/13 06:52:10+00,,,,0,0,0,0,,-100,-100,1.72078617855694e-318,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
-76.9901061111,38.9284377578,5496,7.32946385605489e-319,EXPIRED,General Business Licenses,69004319,CD DESIGN,2011/06/01 00:00:00+00,2013/05/31 00:00:00+00,2013/07/06 00:00:00+00,,2013/07/08 06:48:09+00,WASHINGTON,DC,1215 IRVING STREET NE,38.9284302977548,-76.9901038288767,400858.09,140061.31,20017,71470,45056,2.22606217390232e-319,5,5B,5B04,FIFTH,504,22,NONE,NONE,NONE,NONE
