OBJECTID,CJRTRACTBLOCK,CNT_CJRTRACTBLOCK,SHAPE_Length,SHAPE_Area
10,7308 1997,1,613.754269,16045.476025
11,7308 1010,1,996.828027,25809.569356
12,7308 1011,2,734.095991,15918.733178
13,7308 1999,2,1672.866242,136545.239365
14,7308 1009,1,852.322458,29630.32312
15,7308 1003,2,1202.48266,60653.113384
16,7308 1007,1,116.239613,672.116682
17,7308 1002,2,1093.01777,66713.65371
18,7308 1001,1,189.363535,1941.774016
19,7308 1998,1,9073.353214,2755182.644264
20,7308 1008,13,4566.368495,723622.184449
21,9808 4006,2,893.37814,43979.192221
22,9808 4005,1,429.473451,10413.426943
23,9808 4007,2,2330.516829,214302.893358
24,7308 1004,1,621.059554,5105.037954
25,7308 1005,1,393.313622,4714.422418
26,9808 4000,3,1872.748666,99925.640263
27,9808 4004,1,1619.59488,81594.555095
28,9808 4001,1,1141.326053,29430.959594
29,7308 1000,7,7037.818026,847924.506473
30,9808 4003,1,671.066267,25580.045012
31,7308 1006,2,439.623314,10713.15477
32,9806 1008,1,343.658913,7125.665894
33,9808 4002,1,1020.081884,48032.084761
34,9806 1007,2,426.162266,10382.6873
35,9806 3006,1,374.493817,7681.087445
36,9806 1006,1,390.855413,8807.941191
37,9807 3009,1,1278.567039,50676.089332
38,9807 3008,1,948.291171,34580.894878
39,9806 1004,2,566.652734,13855.575193
40,9806 1005,1,371.380224,8165.853246
41,9807 3003,1,342.970952,5103.312067
42,9807 3004,1,1162.319939,45755.861805
43,9806 3005,1,487.990994,14006.000209
44,9806 1003,1,360.917812,7698.416165
45,9806 2004,1,1558.888777,99640.698544
46,9807 3007,1,884.481123,35310.090454
47,9806 3004,1,538.813272,15317.796963
48,9807 3005,1,596.996291,18626.868743
49,9806 3003,1,553.710248,15991.043252
50,9807 3006,1,851.606764,29747.451797
51,9807 3002,2,1161.089918,36135.568767
52,7301 1010,20,3481.688402,500352.700354
53,9807 3001,2,2230.586907,204096.162696
54,9806 2005,1,1477.316819,43546.534758
55,9806 3002,1,623.33122,24269.329608
56,9807 3000,1,1114.892585,47730.958106
57,9806 1001,1,818.17431,26451.9778
58,9806 2000,3,1341.062117,71685.192165
59,9806 1002,1,1027.312124,42945.19086
60,9806 1000,1,1524.732264,105977.774586
61,7301 1009,63,2467.741696,303318.737166
62,9807 1012,1,809.706814,29911.645467
63,9802 2003,1,941.52392,34903.609041
64,9802 2002,1,554.450849,17482.158941
65,7301 1008,5,362.18375,5677.432005
66,7301 1007,2,220.2461,764.480667
67,9700 2002,1,921.603109,29684.87625
68,9806 3001,1,536.764389,17569.70661
69,9807 1010,1,683.476911,24956.252899
70,9700 2001,1,141.437338,886.317839
71,9807 1011,1,546.091944,16430.940149
72,9806 2001,2,1240.353449,65887.555705
73,9802 2001,1,554.080915,17471.332956
74,9802 2000,1,1139.208762,44316.441045
75,9806 2002,2,1786.426648,98344.138552
76,9806 2003,2,2252.032825,133733.648885
77,9806 2006,1,680.404555,23283.182056
78,9806 3000,1,553.509847,18693.521819
79,9807 1006,1,774.783765,31314.146082
80,9807 1007,1,647.012392,23050.781396
81,9807 1008,1,599.236465,16600.435306
82,9807 1009,1,524.212608,13634.792957
83,9802 1001,1,1212.852567,54563.774153
84,9803 2007,1,633.283996,22045.82974
85,9700 2000,1,1177.555213,58849.960641
86,9802 1000,1,868.818557,31987.847822
87,9801 1007,1,829.829194,29098.620359
88,9803 2006,1,605.892355,17607.0552
89,9803 2005,1,695.139666,26183.839629
90,9801 1004,1,721.913736,27384.057266
91,9700 1004,1,599.478561,21495.112391
92,9807 1005,2,722.437,17839.851466
93,9807 1004,1,733.845205,24831.222745
94,9801 1006,2,981.814864,39714.727526
95,9801 1005,1,741.47649,30817.561903
96,9801 1003,1,1123.014109,64533.693078
97,9803 2003,1,684.710573,23229.863517
98,9807 1003,1,836.398686,30879.07125
99,9803 2002,1,345.505397,5948.69612
100,9803 3004,1,781.610777,26634.07935
101,9803 2004,1,816.248915,22691.360189
102,9803 3005,1,1018.1361,39243.689268
103,9803 3003,1,791.895448,28931.03286
104,7301 1997,1,5577.134629,1303350.681061
105,9801 1002,1,2195.14182,125569.358434
106,9803 3000,1,463.844391,8348.60801
