OBJECTID,PERIMETER,TRACTS30_,TRACTS30_I,TRACTNO,NAME,WEB_URL,SHAPE_Length,SHAPE_Area
1,16453.189,2,0,18,18,http://planning.dc.gov,16453.191387,10457218.192368
2,17429.738,3,0,1,1,http://planning.dc.gov,17429.740575,10906565.888194
3,4509.557,4,0,19,19,http://planning.dc.gov,4509.555264,1009987.83205
4,10021.051,5,0,2,2,http://planning.dc.gov,10021.05085,5237576.745196
5,14602.875,6,0,20,20,http://planning.dc.gov,14602.875866,9756250.326675
6,8987.94,7,0,17,17,http://planning.dc.gov,8987.940698,2712314.062986
7,8639.723,8,0,4,4,http://planning.dc.gov,8639.72255,3041758.082602
8,9595.336,9,0,16,16,http://planning.dc.gov,9595.333848,3264520.883821
9,13002.681,10,0,15,15,http://planning.dc.gov,13002.677046,5909693.609404
10,10910.854,11,0,3,3,http://planning.dc.gov,10910.853445,5114213.947199
11,14418.415,12,0,5,5,http://planning.dc.gov,14418.421724,4295113.927197
12,14399.124,13,0,22,22,http://planning.dc.gov,14399.124,9812936.55409
13,15283.43,14,0,6,6,http://planning.dc.gov,15283.426952,9843007.404504
14,4528.674,15,0,21,21,http://planning.dc.gov,4528.673065,618738.357242
15,7126.736,16,0,14,14,http://planning.dc.gov,7126.734886,2661960.285445
16,5831.626,17,0,13,13,http://planning.dc.gov,5831.625702,1745704.853544
17,17776.137,18,0,29,29,http://planning.dc.gov,17776.137392,18200643.509962
18,6735.392,19,0,12,12,http://planning.dc.gov,6735.391785,2102190.996181
19,4871.492,20,0,10,10,http://planning.dc.gov,4871.489899,1427798.528521
20,4762.397,21,0,11,11,http://planning.dc.gov,4762.396617,1408550.128176
21,3981.88,22,0,24,24,http://planning.dc.gov,3981.880116,766487.812276
22,9432.164,23,0,23,23,http://planning.dc.gov,9432.166761,3158332.089592
23,11172.291,24,0,26,26,http://planning.dc.gov,11172.292672,4864840.60127
24,11643.258,25,0,7,7,http://planning.dc.gov,11643.258076,5990286.771103
25,5336.9,26,0,8,8,http://planning.dc.gov,5336.899721,1722486.550319
26,5074.949,27,0,9,9,http://planning.dc.gov,5074.94919,1586247.333528
27,3793.793,28,0,25,25,http://planning.dc.gov,3793.795644,332189.889768
28,12224.96,29,0,27,27,http://planning.dc.gov,12224.961129,6593649.917517
29,14142.605,30,0,28,28,http://planning.dc.gov,14142.605343,9301542.964447
30,29835.877,31,0,30,30,http://planning.dc.gov,29835.879701,33421525.206092
