OBJECTID,TRACTNO,POPULATION,WEB_URL,NAME,Shape_Length,Shape_Area
1,69,5187,http://planning.dc.gov,69,2989.5470424753,414940.766394397
2,70,6970,http://planning.dc.gov,70,3337.64907747941,513171.870701943
3,71,4215,http://planning.dc.gov,71,4073.47511630754,757949.549481939
4,72,6758,http://planning.dc.gov,72,6453.09440357584,1730426.07860995
5,64,4592,http://planning.dc.gov,64,4301.37811681145,773941.735382509
6,63,5455,http://planning.dc.gov,63,5465.67776148783,825821.273959681
7,50,10394,http://planning.dc.gov,50,2959.36865435788,438225.296223847
8,49,12344,http://planning.dc.gov,49,3276.70948190676,535711.087603372
9,86,4924,http://planning.dc.gov,86,3849.04808835173,646885.558034437
10,54,7055,http://planning.dc.gov,54,3924.02514877824,641737.288018783
11,85,8563,http://planning.dc.gov,85,3085.12948873444,552008.897562838
12,47,9983,http://planning.dc.gov,47,3638.1421635027,645716.830622127
13,52,8811,http://planning.dc.gov,52,3789.56938436989,526458.552008837
14,96,7174,http://planning.dc.gov,96,5585.47559947251,1517879.25921942
15,74,15267,http://planning.dc.gov,74,12885.5062165097,4385675.87311519
16,22,8889,http://planning.dc.gov,22,4633.17564575321,1114511.34023942
17,26,2210,http://planning.dc.gov,26,7224.40227937454,1869090.98117082
18,10,11456,http://planning.dc.gov,10,8357.77750540358,3372577.00978943
19,12,4432,http://planning.dc.gov,12,4895.18297865648,1218407.61157334
20,16,4686,http://planning.dc.gov,16,8794.33656264956,2738480.0372069
21,15,5427,http://planning.dc.gov,15,10668.6383814268,4756064.56173445
22,73,36626,http://planning.dc.gov,73,26315.098068838,21270397.6582804
23,20,7679,http://planning.dc.gov,20,6535.47056827113,1843423.51853114
24,13,4526,http://planning.dc.gov,13,10936.7029050524,4460882.74639903
25,21,13147,http://planning.dc.gov,21,5276.0304662069,1327422.4900144
26,39,5643,http://planning.dc.gov,39,3328.19297363103,400469.967381889
27,34,8543,http://planning.dc.gov,34,4686.91654672458,1071576.00024647
28,2,6871,http://planning.dc.gov,2,6372.05307075608,1825253.41820809
29,88,15593,http://planning.dc.gov,88,6699.51794867706,2394512.34387488
30,48,11566,http://planning.dc.gov,48,3599.70696752459,605290.777947877
31,46,7720,http://planning.dc.gov,46,2890.67143931491,437178.480212928
32,55,8878,http://planning.dc.gov,55,3792.31336155831,629553.448914912
33,53,10286,http://planning.dc.gov,53,3735.98601338582,576074.193149323
34,35,4087,http://planning.dc.gov,35,2981.92011730285,381894.976348727
35,36,6371,http://planning.dc.gov,36,2298.63122641486,305501.306144022
36,37,6579,http://planning.dc.gov,37,2319.12636734936,292936.944644276
37,33,9650,http://planning.dc.gov,33,4201.6851299659,638230.160065559
38,38,6220,http://planning.dc.gov,38,2708.2811807993,355807.824495718
39,40,9137,http://planning.dc.gov,40,2854.01730319402,469328.121815513
40,3,7152,http://planning.dc.gov,3,4309.74352002476,1202108.08490279
41,87,7281,http://planning.dc.gov,87,4128.35485906693,890399.583237034
42,41,4527,http://planning.dc.gov,41,3746.85404770028,796202.622984552
43,45,3238,http://planning.dc.gov,45,2161.93689711719,218731.708048765
44,44,4899,http://planning.dc.gov,44,2263.77845935479,302918.224643482
45,43,5399,http://planning.dc.gov,43,2045.45645206735,236646.168312688
46,89,10811,http://planning.dc.gov,89,9920.26207855096,3907688.52510154
47,42,11047,http://planning.dc.gov,42,2934.73749032188,412897.740391702
48,1,7658,http://planning.dc.gov,1,9162.30795107377,2445885.7816159
49,9,5578,http://planning.dc.gov,9,9826.35795525603,5158281.81605711
50,17,6845,http://planning.dc.gov,17,6611.22799976313,1550011.3895653
51,18,8823,http://planning.dc.gov,18,6912.6338958983,2236043.73947373
52,14,6074,http://planning.dc.gov,14,6375.09365747788,1691852.05266384
53,95,16945,http://planning.dc.gov,95,12006.222875131,6957131.0492561
54,19,8598,http://planning.dc.gov,19,5104.84059108259,1679481.02478715
55,11,5230,http://planning.dc.gov,11,5764.85311399268,1692998.46233619
56,29,5911,http://planning.dc.gov,29,2350.48371476119,302092.365190616
57,31,4760,http://planning.dc.gov,31,2574.12605022823,294728.030659937
58,91,9005,http://planning.dc.gov,91,9744.41858679786,3137861.43634746
59,93,7354,http://planning.dc.gov,93,5202.82609048862,1503743.08035839
