OBJECTID,TRACTS70_,TRACTS70_I,TRACTNO,WEB_URL,NAME,SHAPE_Length,SHAPE_Area
1,2,0,16,http://planning.dc.gov,16,8793.825056,2738446.150762
2,3,0,15,http://planning.dc.gov,15,10668.396047,4756056.933272
3,4,0,17,http://planning.dc.gov,17,6547.572357,1548864.76198
4,5,0,18.1,http://planning.dc.gov,18.1,2753.820838,479089.206468
5,6,0,18.2,http://planning.dc.gov,18.2,5785.991846,1756955.177856
6,7,0,14,http://planning.dc.gov,14,6357.727842,1689112.895543
7,8,0,95.5,http://planning.dc.gov,95.5,4597.006605,1044197.088786
8,9,0,19,http://planning.dc.gov,19,5140.174008,1648654.832883
9,10,0,11,http://planning.dc.gov,11,5925.819302,1697720.880589
10,11,0,20,http://planning.dc.gov,20,6545.568862,1847449.687329
11,12,0,13,http://planning.dc.gov,13,10920.650447,4480096.373964
12,13,0,95.6,http://planning.dc.gov,95.6,5175.453826,1181990.664381
13,14,0,21.1,http://planning.dc.gov,21.1,3187.069224,601065.502411
14,15,0,10.1,http://planning.dc.gov,10.1,6529.573566,2480196.239945
15,16,0,21.2,http://planning.dc.gov,21.2,3547.757622,725853.062687
16,17,0,12,http://planning.dc.gov,12,4866.192825,1214747.306346
17,18,0,95.3,http://planning.dc.gov,95.3,5471.401049,1434439.080371
18,19,0,95.1,http://planning.dc.gov,95.1,6333.507247,1641664.933338
19,20,0,95.2,http://planning.dc.gov,95.2,5665.451743,1663220.241183
20,21,0,22.2,http://planning.dc.gov,22.2,3350.818609,699639.528006
21,22,0,22.1,http://planning.dc.gov,22.1,2575.688418,415113.706349
22,23,0,26,http://planning.dc.gov,26,6890.822339,1808800.538027
23,24,0,9,http://planning.dc.gov,9,9945.103725,5165376.658164
24,25,0,25.1,http://planning.dc.gov,25.1,3102.727193,543560.487593
25,26,0,23.1,http://planning.dc.gov,23.1,2875.539372,408388.341958
26,27,0,94,http://planning.dc.gov,94,5523.74822,1608421.270388
27,28,0,24,http://planning.dc.gov,24,3266.01485,556314.678384
28,29,0,10.2,http://planning.dc.gov,10.2,3952.617294,889704.05318
29,30,0,23.2,http://planning.dc.gov,23.2,5958.242668,2038102.512422
30,31,0,6,http://planning.dc.gov,6,5211.505323,1444340.360327
31,32,0,25.2,http://planning.dc.gov,25.2,3240.26333,604483.67312
32,33,0,27.1,http://planning.dc.gov,27.1,3379.247985,451407.482577
33,34,0,8,http://planning.dc.gov,8,10431.481689,5379640.54111
34,35,0,28,http://planning.dc.gov,28,3085.658587,401164.707082
35,36,0,32,http://planning.dc.gov,32,2990.115368,442210.368412
36,37,0,29,http://planning.dc.gov,29,2350.483715,302092.365191
37,38,0,31,http://planning.dc.gov,31,2574.12752,294768.082012
38,39,0,91.1,http://planning.dc.gov,91.1,5447.568256,1338006.741293
39,40,0,93,http://planning.dc.gov,93,5211.137286,1501093.148155
40,41,0,92,http://planning.dc.gov,92,5270.043097,1534606.167496
