original_address	engagement_date	mar_full_address	mar_latitude	mar_longitude	mar_ward	mar_census_tract	mar_cluster	mar_anc	mar_psa	mar_precinct	mar_zip	mar_has_condo	mar_has_res	mar_res_type	mar_confidence	mar_x	mar_y	mar_id	diagnostic
"100 Irving St NW"	"3/6/2018"	"100 IRVING STREET NW"	"38.92863829"	"-77.01359731"	"Ward 5"	"002302"	"Cluster 21"	"ANC 5E"	"Police Service Area 405"	"Precinct 44"	"20010"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398820.99"	"140084.44"	"303037"	"address matched (1)"
"100 Irving St NW"	"1/19/2016"	"100 IRVING STREET NW"	"38.92863829"	"-77.01359731"	"Ward 5"	"002302"	"Cluster 21"	"ANC 5E"	"Police Service Area 405"	"Precinct 44"	"20010"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398820.99"	"140084.44"	"303037"	"address matched (1)"
"1000 Block of New Jersey Avenue NW"	"7/26/2016"	""	"38.90312523354330"	"-77.01394960925090"	"Ward 6"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"808887"	"address matched (1)"
"1000 Maine Avenue SW"	"3/9/2016"	"1000 MAINE AVENUE SW"	"38.88084615"	"-77.02659094"	"Ward 6"	"010200"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 142"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397692.78"	"134779.41"	"312845"	"address matched (1)"
"1000 Thomas Jefferson NW"	"12/4/2018"	"1000 THOMAS JEFFERSON STREET NW"	"38.90284403"	"-77.060621"	"Ward 2"	"000100"	"Cluster 4"	"ANC 2E"	"Police Service Area 206"	"Precinct 5"	"20007"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"394741.71"	"137222.72"	"273801"	"address matched (1)"
"1032 21 Street NW"	"2/3/2016"	"1009 21ST STREET NW"	"38.90316586"	"-77.04633998"	"Ward 2"	"010700"	"Cluster 6"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20036"	"N"	"N"	"NON RESIDENTIAL"	"82.0"	"395980.47"	"137257.72"	"278779"	"address matched (1)"
"1100 Maine Ave SW"	"7/5/2016"	"1100 MAINE AVENUE SW"	"38.88143240"	"-77.02809220"	"Ward 6"	"010200"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 142"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397562.54"	"134844.49"	"302697"	"address matched (1)"
"1156 15th St NW"	"11/20/2018"	"1156 15TH STREET NW"	"38.90538387"	"-77.03502783"	"Ward 2"	"010100"	"Cluster 6"	"ANC 2B"	"Police Service Area 207"	"Precinct 17"	"20005"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396961.78"	"137503.50"	"242325"	"address matched (1)"
"11th and H streets, NE"	"5/15/2015"	""	"38.90020035846530"	"-76.99152560164630"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"905296"	"address matched (1)"
"1200 Maine Avenue SW"	"1/5/2017"	"1201 MAINE AVENUE SW"	"38.88301935"	"-77.02903802"	"Ward 6"	"010200"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 142"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"397480.53"	"135020.68"	"302703"	"address matched (1)"
"1200 Maine Avenue SW"	"3/9/2017"	"1201 MAINE AVENUE SW"	"38.88301935"	"-77.02903802"	"Ward 6"	"010200"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 142"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"397480.53"	"135020.68"	"302703"	"address matched (1)"
"1240 22nd St NW"	"2/6/2018"	"1240 22ND STREET NW"	"38.90630704"	"-77.04911871"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 208"	"Precinct 4"	"20037"	"N"	"N"	"MIXED USE"	"100.0"	"395739.63"	"137606.58"	"316301"	"address matched (1)"
"1240 22nd St NW"	"4/3/2018"	"1240 22ND STREET NW"	"38.90630704"	"-77.04911871"	"Ward 2"	"005500"	"Cluster 5"	"ANC 2A"	"Police Service Area 208"	"Precinct 4"	"20037"	"N"	"N"	"MIXED USE"	"100.0"	"395739.63"	"137606.58"	"316301"	"address matched (1)"
"12th and G NW"	"10/9/2018"	""	"38.898315265015"	"-77.02807814459250"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900509"	"address matched (1)"
"13 & H NE"	"5/26/2017"	""	"38.90020152211910"	"-76.98830830433930"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900744"	"address matched (1)"
"1300 Block of New York Ave, NE (Parking lot by NY Ave Men’s shelter)"	"5/15/2015"	""	"38.91514530610250"	"-76.98655711750450"	"Ward 5"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"807699"	"address matched (1)"
"1300 Maine Ave SW"	"5/19/2016"	"1300 MAINE AVENUE SW"	"38.88205957"	"-77.02962485"	"Ward 6"	"010200"	"Cluster 9"	"ANC 6D"	"Police Service Area 103"	"Precinct 142"	"20024"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"397429.58"	"134914.19"	"302192"	"address matched (1)"
"1345 14th St NW"	"9/21/2018"	"1345 14TH STREET NW"	"38.90870350"	"-77.03167804"	"Ward 2"	"005002"	"Cluster 7"	"ANC 2F"	"Police Service Area 307"	"Precinct 17"	"20005"	"N"	"N"	"RESIDENTIAL"	"100.0"	"397252.46"	"137871.90"	"225410"	"address matched (1)"
"1500 Connecticut Avenue NW"	"4/11/2017"	"1501 CONNECTICUT AVENUE NW"	"38.91052508"	"-77.04368792"	"Ward 2"	"004202"	"Cluster 6"	"ANC 2B"	"Police Service Area 208"	"Precinct 14"	"20036"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"396210.90"	"138074.54"	"243105"	"address matched (1)"
"1636 R Street, NW"	"12/15/2015"	"1636 R STREET NW"	"38.91240135"	"-77.03796456"	"Ward 2"	"005301"	"Cluster 6"	"ANC 2B"	"Police Service Area 301"	"Precinct 15"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396707.38"	"138282.60"	"241986"	"address matched (1)"
"16th and Harvard NW"	"4/27/2017"	""	"38.92627266315520"	"-77.03648887267310"	"Ward 1"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"900032"	"address matched (1)"
"16th and I NW"	"6/30/2016"	""	"38.90134457640720"	"-77.03654552229850"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"903512"	"address matched (1)"
"16th & I St NW"	"7/19/2016"	""	"38.90134457640720"	"-77.03654552229850"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"903512"	"address matched (1)"
"16th & K Street NW"	"9/8/2016"	""	"38.90252552800520"	"-77.03654204602510"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"901757"	"address matched (1)"
"16th and L NW"	"9/26/2018"	""	"38.90373933434430"	"-77.03653852264280"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"906897"	"address matched (1)"
