Address,20001,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
1545 6TH ST NW,20001,"$950,000","$875,000",$0,4,3,2,9/29/2017
2703 11TH ST NW #3,20001,"$825,000","$830,000","$24,750",3,3,0,9/15/2017
1419 3RD ST NW,20001,"$620,000","$610,000","$6,500",3,2,1,9/6/2017
929 FLORIDA AVE NW #5006,20001,"$299,900","$293,000",$750,0,1,0,9/15/2017
649 COLUMBIA RD NW,20001,"$959,900","$960,000",$0,5,3,1,9/13/2017
1111 11TH ST NW #901,20001,"$635,000","$642,000","$7,000",2,2,0,9/28/2017
437 NEW YORK AVE NW #405,20001,"$479,900","$476,000",$0,1,1,0,9/11/2017
440 M ST NW #1,20001,"$725,000","$709,500",$0,2,2,0,9/8/2017
777 7TH ST NW #936,20001,"$492,900","$490,000","$10,000",1,1,0,9/15/2017
1423 NEW JERSEY AVE NW,20001,"$795,000","$760,000","$5,000",3,2,1,9/7/2017
475 K ST NW #622,20001,"$515,000","$515,000",$800,1,1,0,9/15/2017
1530 1ST ST NW,20001,"$600,000","$600,000",$0,3,1,0,9/8/2017
52 NEW YORK AVE NW #1,20001,"$669,900","$660,000","$1,000",3,3,0,9/29/2017
908 O ST NW,20001,"$975,000","$970,250","$11,000",3,2,1,9/21/2017
436 M ST NW #2,20001,"$699,000","$670,000",$985,3,2,1,9/21/2017
1211 10TH ST NW #1,20001,"$699,555","$699,555","$12,686",2,2,1,9/21/2017
88 P ST NW,20001,"$1,029,900","$995,000",$0,4,4,1,9/20/2017
1806 9TH ST NW #1,20001,"$1,395,000","$1,350,000",$0,3,3,0,9/15/2017
777 7TH ST NW #736,20001,"$514,000","$510,000",$500,1,1,0,9/20/2017
2100 11TH ST NW #103,20001,"$879,900","$847,500",$0,1,2,0,9/29/2017
929 FLORIDA AVE NW #4001,20001,"$529,000","$515,000","$1,000",1,1,0,9/15/2017
460 NEW YORK AVE NW #204,20001,"$454,000","$447,000",$0,1,1,0,9/22/2017
929 FLORIDA AVE NW #4006,20001,"$329,000","$321,500",$500,0,1,0,9/13/2017
