RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
66155,20037,Washington,DC,Washington,District of Columbia,5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155500,159800,161900,163500,165600,167900,171500,176600,181000,184800,188400,192200,195700,198000,200000,201500,201900,203100,206600,210700,215500,219800,223400,226300,230200,235100,240100,244800,250600,254900,256000,254800,254600,257700,263700,272400,281900,288200,291900,296000,300000,305200,310200,314500,318900,321600,321100,320400,320800,321800,323900,327500,330800,333500,336000,339800,345600,351400,356600,362200,368300,374500,381000,388700,396800,403700,410200,417800,423500,426500,430300,435600,438900,440600,442700,444000,444400,446200,448300,449600,450900,452300,452400,454000,456000,455900,452600,448100,442800,438900,437300,436800,435900,434900,434500,432700,431200,433200,437300,441400,445600,447800,446700,443800,440500,437900,434800,430300,425400,421600,418300,415300,413600,411600,408700,406400,406400,407100,406900,405400,405200,405100,404800,404400,403200,400800,402100,405600,406800,406500,409200,413600,415100,414500,414200,415600,417800,423200,426900,425900,422000,421700,421500,418600,415900,415700,414900,415000,415900,417000,417100,418500,422800,427100,431200,436100,441100,444200,446700,445200,442800,440400,441300,443800,446600,446300,444900,446600,450400,454600,459700,465500,467600,468100,468600,470800,473600,477400,481200,483500,483000,480700,477200,474600,474700,477800,480900,482900,484000,484900,485000,484600,486300,488900,490700,491500,492100,492300,491200,487900,484400,481800,480800,481400,482600,483300,485300,487300,489400,491100
66154,20036,Washington,DC,Washington,District of Columbia,8042,,,,,,,,,,,,,,,,,,,,,,,,,,,93700,93600,92600,91900,91700,91800,91500,91300,90000,89500,89500,90100,91200,92600,92100,91400,91700,92600,93400,94000,95900,100700,104800,106100,108300,112700,115900,116900,117100,118000,119500,121000,122500,123700,125000,129200,134800,138800,143500,150300,155800,159300,162600,165300,169800,175200,179800,183800,187100,188400,192000,198300,204300,208700,212800,216200,216600,213700,213700,218900,224800,229200,232100,235800,241600,247100,249900,252800,257700,265100,271700,276400,281200,285500,287300,289400,292700,297400,302500,308000,313600,317800,321000,326200,332700,337800,338900,337400,335400,334700,335000,335400,334900,333800,330300,324600,320200,318300,318100,318600,318100,317400,316400,315000,314500,315200,316000,316300,315900,315100,315500,315900,316400,317100,316900,316800,318300,318300,316900,315300,313000,310500,309100,307600,306800,307100,305900,303000,300800,300200,299500,297900,296100,296600,299500,302900,304600,303400,305400,311100,314000,314000,314800,315200,315000,315300,315200,313900,311700,312200,315400,317500,316400,314400,315200,318000,319000,316400,313100,311500,309800,307000,305000,304400,305100,308000,311100,312400,314300,316900,317000,316100,318000,319800,319800,319000,319000,319700,321600,325400,329800,332700,335800,340600,346000,350700,352700,354000,356200,357400,356100,354300,354200,355900,357500,355700,353300,353700,354000,352200,351100,352200,355200,359100,361700,363700,365100,365900,365900,365900,365800,365400,365000,364300,363100,363100,364200,364900,365400,366700,367600,368000
66151,20032,Washington,DC,Washington,District of Columbia,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,87800,87100,85600,85100,84800,84300,83200,80200,78400,79200,80300,81100,82600,83700,83800,82900,81500,81600,83500,86300,88300,88600,88800,90200,91300,91900,92800,92900,92000,91500,91400,90700,90400,90500,90700,91600,93800,95400,95400,95800,97100,98200,98700,99700,100700,101300,101800,103000,103400,102900,102600,102800,103100,104400,106600,108500,110200,111900,113600,115400,116900,118400,120500,123100,124900,125300,124900,125100,126500,128700,131300,134400,137900,141100,144100,148000,153200,158600,163200,166600,169400,172600,176200,179600,183100,187400,191300,194000,196700,200100,203700,207400,211000,214400,217000,218700,221700,225400,229100,231600,233500,235000,236400,237600,239200,240400,241200,242100,242300,242200,242500,242300,240100,237700,234500,230300,226600,224800,222700,219600,216800,214600,212600,212800,213700,212000,209100,207300,205700,203100,200500,198500,195200,191200,187700,184800,182500,181000,183500,188500,190100,188400,188800,189600,189400,187700,185300,183800,184000,184800,183200,180900,179600,178300,175700,173800,172300,171500,171400,170200,166700,163700,162100,161500,162600,165500,169000,172100,174600,177100,179300,180600,181500,182600,183500,182800,180500,178600,177800,177500,178500,179600,180800,182600,184000,183900,184300,185800,188700,191600,193100,194600,197200,201700,208000,214300,219100,224900,229500,232500,235700,238400,238700,238900,241100,242000,239600,236400,236800,240000,243500,244900,245600,247400,249400,250600,251600,252400,252500,253700,256800,259800
66146,20024,Washington,DC,Washington,District of Columbia,4894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83400,82200,80000,78800,79500,81000,82700,84900,87700,91400,94800,98100,100400,101900,103100,104100,103400,102000,101800,103500,107000,109700,111500,114000,117100,120800,125000,129800,133600,135900,137300,139300,141100,142700,145700,151800,158500,163500,168200,173000,176200,180200,185100,188500,190600,192900,195200,196400,197900,199700,201000,203300,207700,212400,217500,223500,228600,231700,233900,236800,241000,247000,253600,260600,266900,272200,276800,280600,282900,285900,289900,294900,299500,302800,304700,305800,307700,311200,315200,320200,325500,328600,330300,331200,331800,332600,332900,332400,332700,332500,330800,327000,323900,322700,322800,322400,321700,320600,317800,314700,311400,307700,304200,301200,297900,293700,290300,288300,287100,285700,285200,285100,284700,283400,283100,283500,283300,282700,282100,281500,280800,280500,280000,280700,283900,288400,288400,286700,288500,293200,297200,300100,299800,298000,297100,294700,290500,289000,289700,289200,287600,287600,287400,285500,283900,282200,280400,280200,280900,280700,280200,280100,279600,279400,279100,279500,280500,282600,283700,284300,284500,284800,287100,291300,294500,295200,295000,295900,298900,303000,308100,313100,317300,320400,322200,323300,323900,322900,321900,321000,321500,322800,322500,321500,322200,322500,323500,327000,330300,331800,334900,339200,342900,346000,350400,354100,356100,356600,357300,356600,357500,362100,369300,374600,377000,377200,377800,378800,379400,379500
66143,20020,Washington,DC,Washington,District of Columbia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95200,93900,92500,92100,92500,93200,93800,94000,94100,94000,93700,94500,96300,97900,98100,97800,97400,97900,98600,99200,100000,101400,102900,104900,106900,108700,110200,111500,111900,111900,112400,113600,114600,115400,116400,118700,121300,123200,124000,124700,125300,126100,127200,128800,130600,131500,131400,131500,132900,134600,136400,138700,141300,143200,144600,146200,148600,151600,154700,157800,161100,164000,166900,170300,173400,176200,179900,183800,186600,189400,192900,196600,199700,202500,205700,209500,213700,218000,221000,222400,225200,229600,234100,237600,240600,242100,242700,243100,244500,246400,248100,250300,252200,253600,255000,256300,257500,258900,259600,259400,258400,256600,254500,253300,252200,249700,246700,244800,243500,241900,240400,239200,238700,238500,237600,235300,232400,229900,227700,224800,221300,219000,218100,217900,218500,218600,218300,217900,217900,218900,219900,219500,218400,217100,215100,212100,207400,204000,202000,199800,196500,193100,189600,186700,183700,180600,178600,177600,176700,176000,176100,176600,176900,176700,177200,178700,180700,182900,185200,187700,189800,191200,191800,192100,193000,195000,196800,198800,200900,203200,205800,207900,208300,208900,210700,213600,216400,218900,220700,221500,223200,226200,228000,228700,230600,232200,233100,235100,238100,241100,244900,248900,252600,256200,258500,259800,263100,267700,271100,273700,276900,279300,280800,283100,285600,287000,288500,291100,294300,296900
66142,20019,Washington,DC,Washington,District of Columbia,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84300,84400,83900,83400,83200,83300,82700,81500,81300,82300,82800,83800,85600,86900,87100,87100,87200,87400,87900,88300,89100,90200,91700,93500,95200,96900,98500,99700,100600,101500,102800,104400,106200,108200,110300,112800,114900,114900,113800,113400,113400,113500,114200,115300,116600,117900,119100,120000,120800,122000,124000,126700,129600,132400,134800,137000,139100,141100,142800,145000,148000,151100,154100,157200,160300,163200,165800,168400,171100,173800,176300,179100,182600,187200,191600,195200,198800,202500,206200,209800,213700,217300,220300,222300,224200,225900,227100,227700,228800,230100,231500,232700,233700,234800,236800,238900,240300,241700,243700,245300,245400,244400,243000,241900,241200,239600,237600,236000,234500,232900,231500,230300,228800,227100,223500,219100,215800,213600,211300,208400,205400,202300,199200,195800,193500,192200,193200,194900,195000,193700,193200,192900,191700,189900,187900,187600,187400,186800,185600,184500,182900,182300,181300,179800,177500,175500,173200,170800,168400,166900,166500,166300,166400,166700,166700,166900,168000,169300,169800,169300,169200,170000,171200,171800,172900,174300,175800,177400,179500,181900,185400,189100,191600,193000,194100,195100,196300,197700,199000,200800,203400,206400,209100,212400,215900,218800,219900,220300,220600,220600,221900,224400,227600,231600,235500,237900,240000,242200,244600,247500,250600,254000,256500,257800,258400,258400,259000,260900,264300,267100
66141,20018,Washington,DC,Washington,District of Columbia,4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301600,299700,299500,299900,299700,300700,299300,294600,291400,293700,296200,296500,295100,294900,293800,291300,287800,284600,281700,280700,282100,285100,287200,289700,294200,298300,302500,308500,315200,321000,325400,328000,330400,332600,332900,334100,337600,342600,347500,352400,356800,361800,366600,369900,372700,378300,385200,390400,391500,390500,388200,385500,385200,388500,390100,389500,393800,403100,412300,418600,424700,431000,436700,440300,443900,448100,450900,452300,450200,445900,443600,446700,453000,460700,469300,476900,482100,485100
66140,20017,Washington,DC,Washington,District of Columbia,4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121400,122600,123300,123900,123900,124500,126700,129900,132200,133600,134700,136600,138600,139300,138400,137100,135900,135300,135100,135200,136200,137900,139700,142300,145100,147500,149500,151300,152500,153800,154700,155600,156500,157700,160100,163800,166800,168600,170300,171900,173300,175700,178600,181200,184100,186700,187900,188900,191400,194700,198300,202700,207100,210800,214600,218800,223400,228400,233600,238200,243400,250100,257200,264700,272900,281400,288500,293500,296700,300500,305300,311100,316600,320700,324000,327800,332100,336800,341500,345800,349600,352800,354900,356700,358500,359600,360000,359900,359800,359100,357600,357000,358300,359700,360200,360700,361600,362800,364300,365300,365200,363500,358800,352900,348900,346700,344000,341700,339600,336300,332000,328000,325100,322800,319900,315600,311000,306500,301700,296700,292300,289200,286600,283400,280300,277600,280600,288100,293400,294200,296800,298700,298300,296900,296100,295000,293300,293500,293600,292300,289700,289500,290500,291300,290200,289500,289300,290300,291200,291700,292400,294300,296900,298500,298300,297400,298700,301900,307300,312800,317800,321800,324500,326400,329300,332100,333700,336900,342100,346700,350100,353900,357200,360200,363600,367500,371000,375500,381700,387800,391500,393500,394500,394600,395100,397400,399800,401000,405200,413700,422200,427900,433700,440100,445100,448800,454300,460600,462400,459900,456200,452900,451200,453900,459500,464200,467900,473400,479300,483000
66139,20016,Washington,DC,Washington,District of Columbia,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326700,333000,334800,337900,342100,346800,352700,360900,369200,377100,384600,395100,405300,409600,409800,411800,414400,418600,423300,425800,427300,428900,431400,438900,449600,457400,462300,466800,470800,474400,478000,481000,484800,490800,498600,507200,513500,516800,520200,525600,531100,538500,547400,554900,562300,569200,573600,577500,583700,590000,594900,599800,605600,610600,615600,623400,632200,640700,647700,652700,657900,665800,675300,685800,695700,703800,711100,717800,723600,729300,735800,743200,750700,756000,758600,757500,755700,755300,755600,755600,754800,752700,751700,752800,752900,752100,751600,751900,753600,754600,753000,752000,753700,756200,757600,757500,756000,754700,755800,759300,761800,761000,757700,755200,754000,751400,746800,742400,739400,737200,734700,732600,731900,732400,731600,729800,729800,730900,729500,727400,726600,726500,728300,730700,732200,732400,738100,745700,747100,744800,746800,749600,751700,754100,753300,751000,750400,755000,757800,755400,750000,751900,758100,762300,761600,760200,757600,753800,749400,747200,748900,751800,754100,756600,759500,760900,763700,768000,774200,779000,781500,782600,785200,789500,793900,795600,795800,798800,802100,806600,815400,826500,834500,838800,840800,843300,848000,852000,854100,856700,860400,860600,858700,857800,860100,863100,864800,866800,872400,878900,885700,894100,904800,914400,919800,922900,926200,928500,928700,927600,928400,931000,930600,931500,935700,938300,938700,940400,943500,946400
66138,20015,Washington,DC,Washington,District of Columbia,5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361800,368800,371500,375400,379000,383700,390500,397400,406100,416900,426700,438900,450700,456800,459400,461100,460600,461000,463800,466900,469000,470600,475600,484900,494700,501500,507700,514500,521400,527900,534400,540700,545800,551000,557400,568400,581400,590900,596600,602900,609500,617000,625100,631000,637100,644700,651100,653000,652100,652600,655800,661100,667700,674000,680200,688100,696200,704700,714300,724100,732900,740500,748200,758000,767200,772900,776900,780100,784400,788100,791500,794500,799600,804500,806400,804300,803100,804000,805600,807600,809500,808900,807100,809400,813400,816300,818500,820900,822700,823900,825500,828800,831400,831500,830300,829400,829500,832500,836200,838100,837400,835000,830800,827700,826900,827100,824500,819900,814100,807400,800500,797300,798200,799800,797200,791300,787100,785300,783700,781800,779100,777400,778100,779300,779800,779800,785900,794400,798200,798300,802800,807400,810200,812600,815200,815300,812500,815000,817400,813300,807300,809500,812300,810700,808400,807600,805400,805800,808700,809900,810400,812900,815600,817000,818700,821400,824700,829100,835600,838600,838700,838500,840600,843400,847600,851900,855000,859500,864700,868300,870500,875500,881200,885500,887400,889900,892900,895500,898800,904200,908300,909000,910400,914300,918100,920700,922800,926100,931300,936800,945400,958100,970800,979200,982600,982300,981300,983900,990500,995500,998600,999600,995900,988500,983000,980500,980400,982500,987800,993400
