OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
1,Kelly Miller Middle School,301 49TH STREET NE,Middle School,MS,Active,202-388-6870,,328, ,dcps_421,http://kellymillerms.org/,294476,421,421,Y,,,,,,405859.65,136165.39,294476,20019,-76.93245515,38.89331541
2,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222,0,459, ,dcps_296,http://www.bmpv.org/,294583,296,296,N,,1916,82200,,,398163.16,140725.73,294583,20010,-77.02118567,38.9344141
3,Payne Elementary School,1445 C STREET SE,Elementary School,ES,Active,202-698-3262,,236, ,dcps_295,http://paynedc.org/,289721,295,295,N,438,1953,,,,401302.84,135259.2,289721,20003,-76.984984,38.885171
4,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285,,489, ,dcps_328,http://profiles.dcps.dc.gov/tubman,294555,328,328,N,607,1970,66600,450,405,397447.02,140146.96,294555,20010,-77.0294433,38.92919857
5,Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Middle School,MS,Active,202-939-7700,0,429, ,dcps_475,http://www.checdc.org,234375,475,475,N,,,,,,396890.8,140185.59,234375,20010,-77.03585831,38.92954477
6,King Elementary School,3200 6TH STREET SE,Elementary School,ES,Active,202-939-4900,,345, ,dcps_344,http://kingdc.org/,294557,344,344,N,525,1971,65500,400,368,400152.88,130516.03,294557,20032,-76.99823899,38.84244319
7,Hyde-Addison Elementary School,3219 O STREET NW,Elementary School,ES,Active,202-282-0170,0,308, ,dcps_252,http://www.hyde-addison.org/,294558,252,252,N,173,1907,20000,325,181,394402.37,137797.48,294558,20007,-77.06453782,38.90801957
8,Turner Elementary School,3264 STANTON ROAD SE,Elementary School,ES,Active,202-645-3470,0,305, ,dcps_329,http://www.myschooldc.org/schools/profile/116/,294561,329,329,N,,1965,77700,,,401708.96,131092.7,294561,20032,-76.98031323,38.84763644
9,Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3409,,261, ,dcps_308,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294523,308,308,N,571,1973,110800,400,319,401441.25,130427.6,294523,20032,-76.98339857,38.8416454
10,Incarcerated Youth Program Correctional Detention Facility,1901 D STREET SE,Youth Engagement,YE,Active,202-698-5978,60,60,,dcps_947,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,295133,0, ,N,,,,,,402049.46,135066.23,295133,20003,-76.97637892,38.88343091
11,C.W. Harris Elementary School,301 53RD STREET SE,Elementary School,ES,Active,202-645-3188,,224, ,dcps_247,http://cwharriselementary.org/,289801,247,247,N,461,1964,56000,325,312,406410.5,135087.2,289801,20019,-76.9261155,38.88359883
12,LaSalle-Backus Education Campus,501 RIGGS ROAD NE,Elementary School,ES,Active,202-671-6340,0,290, ,dcps_264,http://www.lasallebackus.com/,294489,264,264,N,406,1957,63000,425,272,400010.18,143562.69,294489,20011,-76.99988254,38.95997214
13,Coolidge High School,6315 5TH STREET NW,High School,HS,Active,202-671-6080,,547, ,dcps_455,http://www.coolidgeshs.org/,294615,455,455,N,1240,1940,271300,1100,710,398303.3,144374.62,294615,20012,-77.01957835,38.96728457
14,Thomson Elementary School,1200 L STREET NW,Elementary School,ES,Active,202-898-4660,,327, ,dcps_326,http://www.thomsondcps.org/,240922,326,326,N,,,,,,397533.99,137293.77,240922,20005,-77.02843003,38.90349634
15,Maury Elementary School,1250 CONSTITUTION AVENUE NE,Elementary School,ES,Active,202-698-3838,,292, ,dcps_274,http://www.mauryelementary.com,294511,274,274,N,276,1886,46800,325,225,400984,136037.82,294511,20002,-76.9886575,38.89218519
