X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LINE,ADDRESS,TRAININFO_URL
-77.032554413088235,38.927845759196828,1,mstn_007,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,"green, yellow",3030 14TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights
-77.023463197213701,38.93744242409133,2,mstn_020,Georgia Ave Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,"green, yellow",3700 GEORGIA AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth
-77.018178992564557,38.976086332993177,3,mstn_034,Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,red,327 CEDAR STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma
-76.994536568964193,38.933218785528517,4,mstn_004,Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,red,801 MICHIGAN AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA
-77.002205364201004,38.951854565233255,5,mstn_017,Fort Totten,https://www.wmata.com/rider-guide/stations/fort-totten.cfm,"red, green, yellow",550 GALLOWAY STREET NE,"https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten"
-76.938367131914347,38.890983463751681,6,mstn_003,Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,"blue, orange, silver",4500 BENNING ROAD NE,https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road
-76.935259046919157,38.908186287852445,7,mstn_009,Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,orange,4720 MINNESOTA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood
-77.003022732182899,38.907024000728903,8,mstn_028,NoMa - Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,red,200 FLORIDA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U
-77.079589636844076,38.948859229293205,9,mstn_035,Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,red,4501 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU
-77.084998118687963,38.959491669762166,10,mstn_018,Friendship Heights,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm,red,5337 WISCONSIN AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A08|Friendship Heights
-77.050280038297259,38.900705794768513,11,mstn_016,Foggy Bottom-GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"blue, orange, silver",2301 I STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU
-77.040697711445233,38.901320680202893,12,mstn_013,Farragut West,https://www.wmata.com/rider-guide/stations/farragut-west.cfm,"blue, orange, silver",900 18TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#C03|Farragut West
-77.039703123343116,38.903209732709463,13,mstn_012,Farragut North,https://www.wmata.com/rider-guide/stations/farragut-north.cfm,red,1001 CONNECTICUT AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A02|Farragut North
-77.043416657370457,38.909605845163661,14,mstn_010,Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,red,1525 20TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle
-77.052420322193214,38.925092927477465,15,mstn_040,Woodley Park-Zoo Adams Morgan,https://www.wmata.com/rider-guide/stations/woodley-park.cfm,red,2700 24TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#A04|Woodley%20Park-Zoo/Adams%20Morgan
-77.021910773530166,38.884845511312989,16,mstn_022,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"grn, yllw, orange, blue, slvr",600 MARYLAND AVENUE SW,"https://www.wmata.com/js/nexttrain/nexttrain.html#F03,D03|L'Enfant Plaza"
